"Count","Name","Path"
"952","Az.DevCenter","C:\Program Files\WindowsPowerShell\Modules\Az.DevCenter"
"952","Az.DeviceProvisioningServices","C:\Program Files\WindowsPowerShell\Modules\Az.DeviceProvisioningServices"
"952","Az.DeviceUpdate","C:\Program Files\WindowsPowerShell\Modules\Az.DeviceUpdate"
"952","Az.DevOps.Blueprint","C:\Program Files\WindowsPowerShell\Modules\Az.DevOps.Blueprint"
"952","Az.DevTestLabs","C:\Program Files\WindowsPowerShell\Modules\Az.DevTestLabs"
"952","Az.DigitalTwins","C:\Program Files\WindowsPowerShell\Modules\Az.DigitalTwins"
"952","Az.DiskPool","C:\Program Files\WindowsPowerShell\Modules\Az.DiskPool"
"952","Az.Dns","C:\Program Files\WindowsPowerShell\Modules\Az.Dns"
"952","Az.DnsResolver","C:\Program Files\WindowsPowerShell\Modules\Az.DnsResolver"
"952","Az.Do","C:\Program Files\WindowsPowerShell\Modules\Az.Do"
"952","Az.DynatraceObservability","C:\Program Files\WindowsPowerShell\Modules\Az.DynatraceObservability"
"952","Az.EdgeOrder","C:\Program Files\WindowsPowerShell\Modules\Az.EdgeOrder"
"952","Az.EdgeZones","C:\Program Files\WindowsPowerShell\Modules\Az.EdgeZones"
"952","Az.Elastic","C:\Program Files\WindowsPowerShell\Modules\Az.Elastic"
"952","Az.ElasticSan","C:\Program Files\WindowsPowerShell\Modules\Az.ElasticSan"
"952","Az.EventGrid","C:\Program Files\WindowsPowerShell\Modules\Az.EventGrid"
"952","Az.EventHub","C:\Program Files\WindowsPowerShell\Modules\Az.EventHub"
"952","Az.Extensions.DynamicDeployment","C:\Program Files\WindowsPowerShell\Modules\Az.Extensions.DynamicDeployment"
"952","Az.FirmwareAnalysis","C:\Program Files\WindowsPowerShell\Modules\Az.FirmwareAnalysis"
"952","Az.Fleet","C:\Program Files\WindowsPowerShell\Modules\Az.Fleet"
"952","Az.FluidRelay","C:\Program Files\WindowsPowerShell\Modules\Az.FluidRelay"
"952","Az.FrontDoor","C:\Program Files\WindowsPowerShell\Modules\Az.FrontDoor"
"952","Az.Functions","C:\Program Files\WindowsPowerShell\Modules\Az.Functions"
"952","Az.GraphServices","C:\Program Files\WindowsPowerShell\Modules\Az.GraphServices"
"952","Az.GuestConfiguration","C:\Program Files\WindowsPowerShell\Modules\Az.GuestConfiguration"
"952","Az.HanaOnAzure","C:\Program Files\WindowsPowerShell\Modules\Az.HanaOnAzure"
"952","Az.HDInsight","C:\Program Files\WindowsPowerShell\Modules\Az.HDInsight"
"952","Az.HdInsightOnAks","C:\Program Files\WindowsPowerShell\Modules\Az.HdInsightOnAks"
"952","Az.HealthBot","C:\Program Files\WindowsPowerShell\Modules\Az.HealthBot"
"952","Az.HealthcareApis","C:\Program Files\WindowsPowerShell\Modules\Az.HealthcareApis"
"952","Az.HPCCache","C:\Program Files\WindowsPowerShell\Modules\Az.HPCCache"
"952","Az.ImageBuilder","C:\Program Files\WindowsPowerShell\Modules\Az.ImageBuilder"
"952","Az.ImageBuilder.Tools","C:\Program Files\WindowsPowerShell\Modules\Az.ImageBuilder.Tools"
"952","Az.ImportExport","C:\Program Files\WindowsPowerShell\Modules\Az.ImportExport"
"952","Az.Informatica","C:\Program Files\WindowsPowerShell\Modules\Az.Informatica"
"952","Az.InfrastructureTesting","C:\Program Files\WindowsPowerShell\Modules\Az.InfrastructureTesting"
"952","Az.IotCentral","C:\Program Files\WindowsPowerShell\Modules\Az.IotCentral"
"952","Az.IotHub","C:\Program Files\WindowsPowerShell\Modules\Az.IotHub"
"952","Az.KeyVault","C:\Program Files\WindowsPowerShell\Modules\Az.KeyVault"
"952","Az.KubernetesConfiguration","C:\Program Files\WindowsPowerShell\Modules\Az.KubernetesConfiguration"
"952","Az.Kusto","C:\Program Files\WindowsPowerShell\Modules\Az.Kusto"
"952","Az.LabServices","C:\Program Files\WindowsPowerShell\Modules\Az.LabServices"
"952","Az.LoadTesting","C:\Program Files\WindowsPowerShell\Modules\Az.LoadTesting"
"952","Az.LogicApp","C:\Program Files\WindowsPowerShell\Modules\Az.LogicApp"
"952","Az.Logz","C:\Program Files\WindowsPowerShell\Modules\Az.Logz"
"952","Az.MachineLearning","C:\Program Files\WindowsPowerShell\Modules\Az.MachineLearning"
"952","Az.MachineLearningServices","C:\Program Files\WindowsPowerShell\Modules\Az.MachineLearningServices"
"952","Az.Maintenance","C:\Program Files\WindowsPowerShell\Modules\Az.Maintenance"
"952","Az.ManagedNetworkFabric","C:\Program Files\WindowsPowerShell\Modules\Az.ManagedNetworkFabric"
"952","Az.ManagedServiceIdentity","C:\Program Files\WindowsPowerShell\Modules\Az.ManagedServiceIdentity"
"952","Az.ManagedServices","C:\Program Files\WindowsPowerShell\Modules\Az.ManagedServices"
"952","Az.ManagementPartner","C:\Program Files\WindowsPowerShell\Modules\Az.ManagementPartner"
"952","Az.Maps","C:\Program Files\WindowsPowerShell\Modules\Az.Maps"
"952","Az.MariaDb","C:\Program Files\WindowsPowerShell\Modules\Az.MariaDb"
"952","Az.Marketplace","C:\Program Files\WindowsPowerShell\Modules\Az.Marketplace"
"952","Az.MarketplaceOrdering","C:\Program Files\WindowsPowerShell\Modules\Az.MarketplaceOrdering"
"952","Az.Media","C:\Program Files\WindowsPowerShell\Modules\Az.Media"
"952","Az.Migrate","C:\Program Files\WindowsPowerShell\Modules\Az.Migrate"
"952","Az.MixedReality","C:\Program Files\WindowsPowerShell\Modules\Az.MixedReality"
"952","Az.MobileNetwork","C:\Program Files\WindowsPowerShell\Modules\Az.MobileNetwork"
"952","Az.Monitor","C:\Program Files\WindowsPowerShell\Modules\Az.Monitor"
"952","Az.MonitoringSolutions","C:\Program Files\WindowsPowerShell\Modules\Az.MonitoringSolutions"
"952","Az.MsiGraphPermissions","C:\Program Files\WindowsPowerShell\Modules\Az.MsiGraphPermissions"
"952","Az.MySql","C:\Program Files\WindowsPowerShell\Modules\Az.MySql"
"952","Az.NetAppFiles","C:\Program Files\WindowsPowerShell\Modules\Az.NetAppFiles"
"952","Az.Network","C:\Program Files\WindowsPowerShell\Modules\Az.Network"
"952","Az.NetworkAnalytics","C:\Program Files\WindowsPowerShell\Modules\Az.NetworkAnalytics"
"952","Az.NetworkCloud","C:\Program Files\WindowsPowerShell\Modules\Az.NetworkCloud"
"952","Az.NetworkFunction","C:\Program Files\WindowsPowerShell\Modules\Az.NetworkFunction"
