"Type","Name","Command"
,"AzureRM.BootStrapper",
,"AzureRM.Cdn",
,"AzureRM.CognitiveServices",
,"AzureRM.Compute",
,"AzureRM.Consumption",
,"AzureRM.ContainerInstance",
,"AzureRM.ContainerRegistry",
,"AzureRM.DataFactories",
,"AzureRM.DataFactoryV2",
,"AzureRM.DataLakeAnalytics",
,"AzureRM.DataLakeStore",
,"AzureRM.DataMigration",
,"AzureRM.DevTestLabs",
,"AzureRM.Dns",
,"AzureRM.EventGrid",
,"AzureRM.EventHub",
,"AzureRM.FrontDoor",
,"AzureRM.HDInsight",
,"AzureRM.Insights",
,"AzureRM.IotHub",
,"AzureRM.KeyVault",
,"AzureRM.LogicApp",
,"AzureRM.MachineLearning",
,"AzureRM.MachineLearningCompute",
,"AzureRM.ManagementPartner",
,"AzureRM.Maps",
,"AzureRM.MarketplaceOrdering",
,"AzureRM.Media",
,"AzureRM.Netcore",
,"AzureRM.Network",
,"AzureRM.NotificationHubs",
,"AzureRM.OperationalInsights",
,"AzureRM.PolicyInsights",
,"AzureRM.PowerBIEmbedded",
,"AzureRM.profile",
,"AzureRM.RecoveryServices",
,"AzureRM.RecoveryServices.Backup",
,"AzureRM.RecoveryServices.SiteRecovery",
,"AzureRM.RedisCache",
,"AzureRM.Relay",
,"AzureRM.Reservations",
,"AzureRM.Resources",
,"AzureRM.Scheduler",
,"AzureRM.ServerManagement",
,"AzureRM.ServiceBus",
,"AzureRM.ServiceFabric",
,"AzureRM.SignalR",
,"AzureRM.SiteRecovery",
,"AzureRM.Sql",
,"AzureRM.Storage",
,"AzureRM.StreamAnalytics",
,"AzureRM.Subscription.Preview",
,"AzureRM.Tags",
,"AzureRM.TrafficManager",
,"AzureRM.UsageAggregates",
,"AzureRM.Websites",
,"AzureRM.Websites.Experiments",
,"AzureRMADAppPermissionsReport",
,"AzureRMAppGWCert",
,"AzureRMCertAuthentication",
,"AzureRmImageManagement",
,"AzureRmMinus",
,"AzureRmStorageQueue",
,"AzureRmStorageTable",
,"AzureRoleStuff",
,"AzureSaveMoney",
,"AzureSearch",
,"AzureSecrets",
,"AzureSerialAccessConsole",
,"AzureServiceBusCreation",
,"AzureServiceBusManagement",
,"AzureServicePrincipalAccount",
,"AzureSignInAudit",
,"AzureSimpleREST",
,"AzureSqlMaintenancePlan",
,"AzureStack",
,"AzureStackHCIJumpstart",
,"AzureStackVaaS",
,"AzureStateManager",
,"AzureStorageTools",
,"AzureStuff",
,"AzureSynapseCmdlets",
,"AzureTableEntity",
,"AzureTablesCmdlets",
,"AzureToolsBD09",
,"AzureUserStuff",
,"AzureUtil",
,"AzureVMPublicIPUpgrade",
,"AzureVMSnapshot",
,"AzureVmSnapshots",
,"AzureVpnClient",
,"azureVpnP2SSelfSignedCertificate",
,"AzureWvdDsc",
,"AzViz",
,"AzVnetGraph",
,"AzWhoAmI",
,"BenchPress.Azure",
,"BitTitan.Runbooks.AzureAD",
,"BitTitan.Runbooks.AzureAD.Beta",
,"BitTitan.Runbooks.AzureRM",
,"BitTitan.Runbooks.AzureRM.Beta",
,"BitTitan.Runbooks.AzureRMS",
,"BitTitan.Runbooks.AzureRMS.Beta",
,"biz.dfch.PS.System.Logging",
,"biz.dfch.PS.System.Utilities",
,"BlazorHelp",
,"BrazenCloud",
,"BrazenCloud.ADK",
,"BrazenCloud.Yaml",
,"cAzureKeyVault",
,"cAzureStorage",
,"cEPRSAzureFeatures",
,"cEPRSDeployAzureWebsite",
,"cMoveAzureTempDrive",
,"CommonStuff",
,"Configuration",
,"Connect-AzAD_Token",
,"Connect-AzureAutomation",
,"CPolydorou.Azure.WebApp",
,"CredentialStore",
,"CWJAzureRegionIPRange",
,"CWJIPNetwork",
,"D365BCOnAzureDeployment",
,"D365BCOnAzureHelper",
,"DependencySearch",
,"Devdeer.Azure",
,"dos-install-common-azure",
,"DosInstallUtilities.Azure",
,"EasyAzureFunction",
,"EcoVadis.AzureDevOps",
,"eNLib",
,"EpinovaAzureToolBucket",
,"ExchangeOnlineManagement",
,"Export-AzureRoleAssignment",
,"gaz-toolbox",
,"Get-AllAzNics",
,"Get-AzCertificateThumbprint",
,"Get-AzureADAuthTokens",
,"Get-AzVMSku",
,"Get-CAzureRMStorageServicesAuthorizationHeader",
,"HansenAzurePS",
,"Import-JUnitToAzTestPlan",
,"ImportAZSK_UtilizationModules",
,"ImportExcel",
,"JAz.LogIngestion",
,"JAz.PIM",
,"JBUtils",
,"jtAz",
,"KeDo_AZTableAPI",
,"KeDo_AzureGraphAPI",
,"Kelverion.Azure.DevOps",
,"Kelverion.Azure.Infrastructure",
,"Kelverion.Azure.Monitor",
,"Keyops-Azure",
,"lazy-posh-git",
,"LazyExchangeAdmin.AdExpNotify",
,"LazyExchangeAdmin.SkuMon",
,"List-AllAzSubnets",
,"List-AllAzVMDefaultRoutes",
,"LumifyAzureTools",
,"MazeRats",
,"Metadata",
